"Date","Price","Open","High","Low","Change %"
"Jan 01, 2021","28.075","28.114","28.114","28.072","0.00%"
"Dec 31, 2020","28.075","28.130","28.168","28.040","-0.12%"
"Dec 30, 2020","28.109","28.098","28.164","28.028","0.05%"
"Dec 29, 2020","28.094","28.123","28.181","28.053","-0.09%"
"Dec 28, 2020","28.118","28.128","28.171","28.081","-0.02%"
"Dec 25, 2020","28.123","28.119","28.153","28.025","0.06%"
"Dec 24, 2020","28.106","28.151","28.174","28.098","-0.10%"
"Dec 23, 2020","28.134","28.170","28.202","28.081","-0.01%"
"Dec 22, 2020","28.137","28.154","28.219","28.127","0.00%"
"Dec 21, 2020","28.137","28.170","28.287","28.123","-0.06%"
"Dec 18, 2020","28.154","28.138","28.189","28.095","0.03%"
"Dec 17, 2020","28.146","28.105","28.231","28.063","0.05%"
"Dec 16, 2020","28.133","28.130","28.182","28.066","0.03%"
"Dec 15, 2020","28.125","28.131","28.211","28.083","0.04%"
"Dec 14, 2020","28.114","28.182","28.205","28.097","-0.22%"
"Dec 11, 2020","28.177","28.200","28.340","28.126","0.01%"
"Dec 10, 2020","28.175","28.268","28.276","28.184","-0.27%"
"Dec 09, 2020","28.250","28.235","28.288","28.157","0.03%"
"Dec 08, 2020","28.241","28.239","28.289","28.185","0.06%"
"Dec 07, 2020","28.224","28.216","28.317","28.209","0.08%"
"Dec 04, 2020","28.201","28.420","28.431","28.146","-0.74%"
"Dec 03, 2020","28.412","28.512","28.542","28.250","-0.24%"
"Dec 02, 2020","28.481","28.527","28.576","28.444","-0.11%"
"Dec 01, 2020","28.513","28.601","28.618","28.509","-0.22%"
"Nov 30, 2020","28.576","28.519","28.601","28.417","0.25%"
"Nov 27, 2020","28.504","28.504","28.566","28.430","0.02%"
"Nov 26, 2020","28.499","28.485","28.548","28.436","0.07%"
"Nov 25, 2020","28.480","28.491","28.544","28.400","-0.02%"
"Nov 24, 2020","28.486","28.540","28.584","28.451","-0.14%"
"Nov 23, 2020","28.525","28.536","28.570","28.490","0.00%"
"Nov 20, 2020","28.525","28.544","28.594","28.475","0.05%"
"Nov 19, 2020","28.511","28.511","28.578","28.498","0.05%"
"Nov 18, 2020","28.496","28.516","28.549","28.472","-0.05%"
"Nov 17, 2020","28.511","28.494","28.570","28.414","0.11%"
"Nov 16, 2020","28.479","28.470","28.595","28.441","0.07%"
"Nov 13, 2020","28.459","28.533","28.553","28.444","-0.18%"
"Nov 12, 2020","28.510","28.527","28.584","28.461","-0.01%"
"Nov 11, 2020","28.512","28.625","28.639","28.500","-0.26%"
"Nov 10, 2020","28.587","28.650","28.656","28.515","-0.14%"
"Nov 09, 2020","28.627","28.582","28.660","28.452","0.21%"
"Nov 06, 2020","28.567","28.530","28.632","28.488","0.20%"
"Nov 05, 2020","28.510","28.565","28.650","28.485","-0.15%"
"Nov 04, 2020","28.552","28.611","28.707","28.555","-0.19%"
"Nov 03, 2020","28.606","28.576","28.662","28.546","0.16%"
"Nov 02, 2020","28.561","28.599","28.655","28.510","-0.08%"
"Oct 30, 2020","28.584","28.602","28.646","28.372","-0.05%"
"Oct 29, 2020","28.597","28.617","28.652","28.552","0.00%"
"Oct 28, 2020","28.597","28.604","28.647","28.539","0.03%"
"Oct 27, 2020","28.589","28.604","28.646","28.507","-0.03%"
"Oct 26, 2020","28.599","28.630","28.752","28.570","-0.07%"
"Oct 23, 2020","28.618","28.724","28.725","28.576","-0.33%"
"Oct 22, 2020","28.713","28.693","28.759","28.615","0.12%"
"Oct 21, 2020","28.678","28.713","28.744","28.626","-0.08%"
"Oct 20, 2020","28.700","28.743","28.760","28.692","-0.10%"
"Oct 19, 2020","28.729","28.787","28.792","28.695","-0.18%"
"Oct 16, 2020","28.782","28.751","28.816","28.723","0.13%"
"Oct 15, 2020","28.746","28.758","28.816","28.698","-0.02%"
"Oct 14, 2020","28.753","28.745","28.883","28.666","0.04%"
"Oct 13, 2020","28.742","28.621","28.781","28.573","0.50%"
"Oct 12, 2020","28.599","28.616","28.715","28.549","-0.05%"
"Oct 09, 2020","28.612","28.627","28.674","28.549","-0.09%"
"Oct 08, 2020","28.638","28.678","28.759","28.622","-0.09%"
"Oct 07, 2020","28.663","28.821","28.857","28.628","-0.53%"
"Oct 06, 2020","28.817","28.756","28.834","28.674","0.30%"
"Oct 05, 2020","28.732","28.934","28.940","28.678","-0.65%"
"Oct 02, 2020","28.920","28.878","28.979","28.872","0.20%"
"Oct 01, 2020","28.863","28.946","28.951","28.832","-0.21%"
"Sep 30, 2020","28.923","28.985","29.042","28.896","-0.26%"
"Sep 29, 2020","28.999","29.108","29.146","28.954","-0.33%"
"Sep 28, 2020","29.094","29.266","29.288","29.079","-0.54%"
"Sep 25, 2020","29.253","29.267","29.323","29.179","-0.03%"
"Sep 24, 2020","29.262","29.217","29.408","29.131","0.38%"
"Sep 23, 2020","29.151","29.046","29.250","29.010","0.41%"
"Sep 22, 2020","29.032","28.982","29.125","28.956","0.24%"
"Sep 21, 2020","28.963","29.000","29.032","28.782","-0.08%"
"Sep 18, 2020","28.985","29.150","29.189","28.975","-0.48%"
"Sep 17, 2020","29.126","29.215","29.261","29.101","-0.37%"
"Sep 16, 2020","29.234","29.231","29.269","29.126","0.06%"
"Sep 15, 2020","29.217","29.257","29.279","29.167","-0.10%"
"Sep 14, 2020","29.245","29.297","29.323","29.213","-0.16%"
"Sep 11, 2020","29.291","29.275","29.341","29.204","0.04%"
"Sep 10, 2020","29.279","29.310","29.333","29.232","0.01%"
"Sep 09, 2020","29.277","29.270","29.359","29.166","0.06%"
"Sep 08, 2020","29.258","29.332","29.338","29.222","-0.17%"
"Sep 07, 2020","29.308","29.338","29.378","29.253","-0.05%"
"Sep 04, 2020","29.324","29.347","29.379","29.288","-0.06%"
"Sep 03, 2020","29.342","29.366","29.397","29.293","-0.05%"
"Sep 02, 2020","29.357","29.370","29.390","29.297","0.01%"
"Sep 01, 2020","29.353","29.377","29.403","29.285","-0.04%"
"Aug 31, 2020","29.365","29.347","29.409","29.306","0.09%"
"Aug 28, 2020","29.338","29.384","29.415","29.274","-0.14%"
"Aug 27, 2020","29.378","29.361","29.404","29.290","0.10%"
"Aug 26, 2020","29.348","29.375","29.414","29.291","-0.03%"
"Aug 25, 2020","29.358","29.382","29.424","29.295","-0.02%"
"Aug 24, 2020","29.365","29.407","29.443","29.312","-0.09%"
"Aug 21, 2020","29.392","29.422","29.448","29.318","-0.00%"
"Aug 20, 2020","29.393","29.400","29.485","29.312","0.04%"
"Aug 19, 2020","29.381","29.427","29.437","29.332","0.00%"
"Aug 18, 2020","29.381","29.390","29.451","29.341","-0.02%"
"Aug 17, 2020","29.386","29.397","29.464","29.353","-0.02%"
"Aug 14, 2020","29.392","29.439","29.452","29.336","-0.13%"
"Aug 13, 2020","29.430","29.369","29.474","29.299","0.26%"
"Aug 12, 2020","29.354","29.406","29.475","29.326","-0.13%"
"Aug 11, 2020","29.392","29.401","29.465","29.316","0.02%"
"Aug 10, 2020","29.386","29.436","29.441","29.351","-0.12%"
"Aug 07, 2020","29.421","29.396","29.445","29.306","0.14%"
"Aug 06, 2020","29.379","29.372","29.410","29.299","0.07%"
"Aug 05, 2020","29.357","29.391","29.402","29.307","-0.06%"
"Aug 04, 2020","29.375","29.378","29.433","29.320","0.12%"
"Aug 03, 2020","29.341","29.325","29.438","29.260","0.01%"
"Jul 31, 2020","29.337","29.303","29.406","29.254","0.17%"
"Jul 30, 2020","29.287","29.271","29.352","29.243","0.11%"
"Jul 29, 2020","29.256","29.338","29.358","29.240","-0.23%"
"Jul 28, 2020","29.324","29.335","29.351","29.199","0.08%"
"Jul 27, 2020","29.301","29.466","29.492","29.302","-0.51%"
"Jul 24, 2020","29.451","29.443","29.520","29.406","0.08%"
"Jul 23, 2020","29.428","29.446","29.493","29.397","-0.01%"
"Jul 22, 2020","29.432","29.428","29.476","29.372","0.06%"
"Jul 21, 2020","29.414","29.446","29.522","29.385","-0.11%"
"Jul 20, 2020","29.446","29.468","29.535","29.446","-0.02%"
"Jul 17, 2020","29.453","29.465","29.535","29.373","0.00%"
"Jul 16, 2020","29.452","29.478","29.514","29.426","-0.16%"
"Jul 15, 2020","29.499","29.489","29.525","29.385","0.14%"
"Jul 14, 2020","29.458","29.447","29.540","29.358","0.08%"
"Jul 13, 2020","29.433","29.478","29.528","29.413","-0.10%"
"Jul 10, 2020","29.463","29.431","29.571","29.416","0.18%"
"Jul 09, 2020","29.411","29.439","29.482","29.350","-0.07%"
"Jul 08, 2020","29.431","29.488","29.503","29.384","-0.13%"
"Jul 07, 2020","29.468","29.392","29.505","29.344","0.31%"
"Jul 06, 2020","29.377","29.454","29.507","29.382","-0.24%"
"Jul 03, 2020","29.449","29.448","29.499","29.427","0.05%"
"Jul 02, 2020","29.434","29.468","29.500","29.418","0.00%"
"Jul 01, 2020","29.433","29.439","29.555","29.404","0.07%"
"Jun 30, 2020","29.412","29.474","29.525","29.368","-0.12%"
"Jun 29, 2020","29.448","29.537","29.610","29.402","-0.25%"
"Jun 26, 2020","29.522","29.514","29.566","29.472","0.08%"
"Jun 25, 2020","29.499","29.534","29.564","29.472","-0.06%"
"Jun 24, 2020","29.518","29.566","29.605","29.444","-0.09%"
"Jun 23, 2020","29.546","29.614","29.635","29.497","-0.16%"
"Jun 22, 2020","29.593","29.599","29.654","29.563","0.01%"
"Jun 19, 2020","29.589","29.626","29.652","29.533","-0.03%"
"Jun 18, 2020","29.597","29.621","29.676","29.545","-0.05%"
"Jun 17, 2020","29.612","29.671","29.701","29.585","-0.14%"
"Jun 16, 2020","29.654","29.650","29.733","29.553","0.08%"
"Jun 15, 2020","29.629","29.644","29.755","29.629","0.00%"
"Jun 12, 2020","29.629","29.708","29.769","29.588","-0.20%"
"Jun 11, 2020","29.689","29.611","29.717","29.518","0.34%"
"Jun 10, 2020","29.587","29.752","29.795","29.489","-0.46%"
"Jun 09, 2020","29.724","29.685","29.792","29.649","0.22%"
"Jun 08, 2020","29.659","29.728","29.800","29.651","-0.05%"
"Jun 05, 2020","29.675","29.916","29.921","29.646","-0.72%"
"Jun 04, 2020","29.890","29.905","29.959","29.858","-0.03%"
"Jun 03, 2020","29.900","29.938","29.971","29.853","-0.09%"
"Jun 02, 2020","29.926","29.921","29.986","29.851","0.14%"
"Jun 01, 2020","29.883","29.959","30.014","29.853","-0.20%"
"May 29, 2020","29.944","30.005","30.056","29.925","-0.14%"
"May 28, 2020","29.985","30.041","30.090","29.937","-0.15%"
